1.24, 14.676, 1.41602, 12.82, 5.05094, 0.401633, 32, 12.03, 357.79
1.26, 14.5828, 2.55279, 11.59, 5.08826, 3.89973, 80, 12.83, 358.12
1.28, 14.4918, 1.66184, 12.39, 5.13925, 2.53936, 48, 13.16, 358.37
1.3, 14.4026, 1.24259, 12.72, 5.1832, 0.725531, 64, 12.15, 357.74
1.32, 14.3144, 2.16439, 11.71, 5.19563, 0.272074, 32, 13.54, 358.15
1.34, 14.2266, 0.686585, 13.1, 5.19978, 0.336854, 64, 13.92, 358.24
1.36, 14.1385, 0.218453, 13.48, 5.20185, -0.181383, 32, 12.83, 358.26
1.38, 14.0493, 1.21927, 12.39, 5.206, 0.98465, 64, 13.73, 359.05
1.4, 13.9583, 0.228284, 13.29, 5.20973, 0.272074, 64, 13.93, 359.22
1.42, 13.8647, -0.0652599, 13.49, 5.21263, 0.336854, 32, 13.31, 359.03
1.44, 13.7679, 0.457877, 12.87, 5.21429, -0.246162, 64, 14.28, 359.42
1.46, 13.6669, -0.613064, 13.84, 5.21512, 0.207295, 32, 14.28, 359.48
1.48, 13.5612, -0.71883, 13.84, 5.21512, 0.207295, 48, 13.84, 0.13
1.5, 13.4499, -0.39015, 13.4, 5.21553, 0.207295, 48, 14.54, 0.93
1.52, 13.3323, -1.20773, 14.1, 5.21553, 0.207295, 48, 14.59, 1.32
1.54, 13.2078, -1.38223, 14.15, 5.21512, 0.142515, 32, 14.2, 1.46
1.56, 13.0757, -1.1243, 13.76, 5.21553, 0.142515, 16, 14.76, 1.77
1.58, 12.9355, -1.82453, 14.32, 5.21429, 0.142515, 0, 14.67, 1.77
1.6, 12.7866, -1.88344, 14.23, 5.21388, 0.142515, 0, 14.37, 1.77
1.62, 12.6285, -1.74153, 13.93, 5.20683, -0.181383, 0, 14.81, 1.77
1.64, 12.4608, -2.34923, 14.37, 5.20227, -0.63484, 0, 14.67, 1.75
1.66, 12.2831, -2.38687, 14.23, 5.17698, -1.34742, 32, 14.47, 1.7
1.68, 12.0952, -2.37476, 14.03, 5.13635, -0.63484, -16, 15, 1.78
1.7, 11.8969, -3.10309, 14.56, 5.07955, -4.58639, 0, 14.88, 1.66
1.72, 11.688, -3.19202, 14.44, 4.99456, -4.19772, -32, 14.78, 1.22
1.74, 11.4684, -3.31159, 14.34, 4.93444, -3.74426, 0, 15.12, 1.47
1.76, 11.2382, -3.88177, 14.68, 4.85111, -4.00338, 16, 14.54, 1.3
1.78, 10.9975, -3.54246, 14.1, 4.774, -2.31911, -32, 14.5, 1.56
1.8, 10.7465, -3.75346, 14.06, 4.69108, -4.32728, 16, 14.89, 2
1.82, 10.4855, -4.40448, 14.45, 4.59241, -4.00338, 16, 14.14, 2.28
1.84, 10.2148, -3.92516, 13.7, 4.50286, -3.87382, 0, 14.18, 2.35
1.86, 9.93494, -4.24506, 13.74, 4.41165, -4.58639, 0, 14.1, 2.44
1.88, 9.64637, -4.45363, 13.66, 4.34241, -4.19772, 16, 13.56, 2.63
1.9, 9.34974, -4.21026, 13.12, 4.22757, -4.58639, 16, 13.77, 2.42
1.92, 9.04573, -4.72427, 13.33, 4.14714, -4.84551, -16, 13.54, 2.55
1.94, 8.73512, -4.80488, 13.1, 4.02608, -4.19772, 0, 13.28, 2.87
